,Beer,Total_Votes,Rating,Brewery,Beer_Style,ABV,Region,Latitude,Longitude,City,State
756,Beer:Barrel:Time,164,4.67,Side Project Brewing,American Imperial Stout,15.00%,midwest,38.61188,-90.321888,Brentwood,MO
757,Fencerow,213,4.41,Side Project Brewing,American Wild Ale,6.00%,midwest,38.61188,-90.321888,Brentwood,MO
758,Fuzzy,929,4.61,Side Project Brewing,American Wild Ale,8.00%,midwest,38.61188,-90.321888,Brentwood,MO
759,Abricot Du Fermier,342,4.61,Side Project Brewing,Belgian Saison,8.00%,midwest,38.61188,-90.321888,Brentwood,MO
760,Oude Du Blé,71,4.47,Side Project Brewing,Belgian Saison,7.00%,midwest,38.61188,-90.321888,Brentwood,MO
761,Kriek Du Fermier,31,4.56,Side Project Brewing,Belgian Saison,8.00%,midwest,38.61188,-90.321888,Brentwood,MO
762,Derivation Blend #10,49,4.54,Side Project Brewing,American Imperial Stout,14.00%,midwest,38.61188,-90.321888,Brentwood,MO
763,Softly Spoken Magic Spells,916,4.42,SingleCut Beersmiths,New England IPA,8.60%,mid-atlantic,40.7784244,-73.90175180000001,New York City,NY
764,Double Dry Hopped Bon Bon 2X TNT IIPA,80,4.42,SingleCut Beersmiths,New England IPA,8.20%,mid-atlantic,40.7784244,-73.90175180000001,New York City,NY
765,Not Your Father's Root Beer (19.5%),90,4.48,Small Town Brewery,Herb and Spice Beer,19.50%,great-lakes,42.2742671,-88.1538396,Wauconda,IL
766,Infinite Wishes,141,4.42,Smog City Brewing,American Imperial Stout,12.00%,pacific,33.8470903,-118.3136865,Torrance,CA
767,Le Serpent Cerise,33,4.33,Snake River Brewing Company & Brewpub,Flanders Oud Bruin,8.00%,mountain,43.47681499999999,-110.76543229999999,Jackson,WY
768,The Pupil,937,4.4,Societe Brewing Co.,American IPA,7.50%,pacific,32.833882,-117.1463722,San Diego,CA
769,Always Something,19,4.34,Southern Grist Brewing Co.,American Imperial IPA,al IPA,south,36.1888142,-86.728782,Nashville-Davidson,TN
770,DDH Noise Pollution,25,4.33,Southern Grist Brewing Co.,American Imperial IPA,7.50%,south,36.1888142,-86.728782,Nashville-Davidson,TN
771,Mixed Greens,38,4.17,Southern Grist Brewing Co.,American IPA,6.20%,south,36.1888142,-86.728782,Nashville-Davidson,TN
772,Imperial Vanilla Black Currant Boysenberry Hill,10,4.44,Southern Grist Brewing Co.,Fruit and Field Beer,7.10%,south,36.1888142,-86.728782,Nashville-Davidson,TN
773,DDH Mixed Greens,28,4.21,Southern Grist Brewing Co.,New England IPA,6.20%,south,36.1888142,-86.728782,Nashville-Davidson,TN
774,[Insert Juicy Pun],21,4.29,Southern Grist Brewing Co.,American Imperial IPA,7.90%,south,36.1888142,-86.728782,Nashville-Davidson,TN
775,Boil the Ocean,12,4.41,Southern Grist Brewing Co.,American Wild Ale,5.80%,south,36.1888142,-86.728782,Nashville-Davidson,TN
776,Process Control,33,4.23,Southern Grist Brewing Co.,American IPA,7.50%,south,36.1888142,-86.728782,Nashville-Davidson,TN
777,Paradise Lost,59,4.28,Southern Prohibition Brewing,American Imperial IPA,8.10%,south,31.3300149,-89.2897574,Hattiesburg,MS
778,Selfie Destruct,22,4.32,Southern Prohibition Brewing,American IPA,6.60%,south,31.3300149,-89.2897574,Hattiesburg,MS
779,Hex Clouds,28,4.3,Southern Prohibition Brewing,New England IPA,7.50%,south,31.3300149,-89.2897574,Hattiesburg,MS
780,Crowd Control - Double Dry-Hopped,11,4.52,Southern Prohibition Brewing,American Imperial IPA,8.00%,south,31.3300149,-89.2897574,Hattiesburg,MS
781,Răgana - Barrel-Aged,19,4.24,Southern Prohibition Brewing,Baltic Porter,8.80%,south,31.3300149,-89.2897574,Hattiesburg,MS
782,Crowd Control,171,4.23,Southern Prohibition Brewing,American Imperial IPA,8.00%,south,31.3300149,-89.2897574,Hattiesburg,MS
783,Houston Haze,112,4.3,Spindletap Brewery,New England IPA,6.50%,southwest,29.867676399999997,-95.314789,Houston,TX
784,Diamonds in my Mouth,38,4.43,Spindletap Brewery,New England IPA,8.00%,southwest,29.867676399999997,-95.314789,Houston,TX
785,Juiceton,37,4.27,Spindletap Brewery,New England IPA,8.50%,southwest,29.867676399999997,-95.314789,Houston,TX
786,Barrel-Aged Malevolence Chocolate Caliente,94,4.57,Spiteful Brewing,American Imperial Stout,10.50%,great-lakes,41.9799234,-87.6806239,Chicago,IL
787,Before The Dawn,207,4.35,Steel Toe Brewing,American Barleywine,13.70%,midwest,44.9413609,-93.34121540000001,St. Louis Park,MN
788,Sticker Fight,131,4.34,Steel Toe Brewing,American Imperial IPA,8.50%,midwest,44.9413609,-93.34121540000001,St. Louis Park,MN
789,Stillwater / Westbrook - Gose Gone Wild,"1,113",4.39,Stillwater Artisanal Ales,Leipzig Gose,4.60%,mid-atlantic,39.2904,-76.6122,Baltimore,MD
790,Fyodor,"1,373",4.46,Stone Brewing,Russian Imperial Stout,13.10%,pacific,33.1192,-117.0864,Escondido,CA
791,Enjoy By IPA,"11,079",4.41,Stone Brewing,American Imperial IPA,9.40%,pacific,33.1192,-117.0864,Escondido,CA
792,Mikhail's Odd,128,4.44,Stone Brewing,American Imperial Stout,13.90%,pacific,33.1192,-117.0864,Escondido,CA
793,Cabernet Barrel-Aged Laika Stout,172,4.24,Straight To Ale,Russian Imperial Stout,11.70%,south,34.720852,-86.60708699999998,Huntsville,AL
794,Illudium,88,4.29,Straight To Ale,English Old Ale,11.50%,south,34.720852,-86.60708699999998,Huntsville,AL
795,Bourbon Barrel-Aged Laika Stout,177,4.29,Straight To Ale,Russian Imperial Stout,11.70%,south,34.720852,-86.60708699999998,Huntsville,AL
796,Unobtanium Barrel-Aged Old Ale,260,4.17,Straight To Ale,English Old Ale,11.50%,south,34.720852,-86.60708699999998,Huntsville,AL
797,White Russian Imperial Stout,104,4.36,Sun Up Brewing Co.,American Imperial Stout,9.20%,southwest,33.5094995,-112.06876159999999,Phoenix,AZ
798,Abrasive Ale,"4,678",4.5,Surly Brewing Company,American Imperial IPA,9.00%,midwest,44.9729768,-93.2098183,Minneapolis,MN
799,Darkness - Bourbon Barrel-Aged,247,4.46,Surly Brewing Company,Russian Imperial Stout,12.00%,midwest,44.9729768,-93.2098183,Minneapolis,MN
800,Todd The Axe Man,"2,674",4.46,Surly Brewing Company,American IPA,7.20%,midwest,44.9729768,-93.2098183,Minneapolis,MN
801,Darkness,"4,073",4.48,Surly Brewing Company,Russian Imperial Stout,10.30%,midwest,44.9729768,-93.2098183,Minneapolis,MN
802,TENN No. 12 - Belgian-Style Quad,14,4.43,Tennessee Brew Works,Belgian Quadrupel (Quad),10.00%,south,36.1503993,-86.7761828,Nashville-Davidson,TN
803,Crusher,"2,224",4.48,The Alchemist,New England IPA,8.00%,new-england,44.4654,-72.6874,Stowe,VT
804,Focal Banger,"3,950",4.57,The Alchemist,New England IPA,7.00%,new-england,44.4654,-72.6874,Stowe,VT
805,Heady Topper,"14,530",4.71,The Alchemist,New England IPA,8.00%,new-england,44.4654,-72.6874,Stowe,VT
806,Sahati,147,4.29,The Ale Apothecary,Finnish Sahti,10.50%,northwest,44.051281900000006,-121.3311038,Bend,OR
807,The Beer Formerly Known As (TBFKA) La Tache,272,4.28,The Ale Apothecary,American Wild Ale,8.50%,northwest,44.051281900000006,-121.3311038,Bend,OR
808,Spencer,39,4.4,The Ale Apothecary,American Wild Ale,10.70%,northwest,44.051281900000006,-121.3311038,Bend,OR
809,Sahalie,477,4.36,The Ale Apothecary,American Wild Ale,9.83%,northwest,44.051281900000006,-121.3311038,Bend,OR
810,Sahalie Fresh Hop,22,4.54,The Ale Apothecary,American Wild Ale,8.79%,northwest,44.051281900000006,-121.3311038,Bend,OR
811,"3 Scoops: Passionfruit, Lemonade, Mango",45,4.44,The Answer Brewpub,Berliner Weisse,3.50%,south-atlantic,37.5934186,-77.506783,Westhampton,VA
812,Black Tuesday - Port Barrel-Aged,131,4.44,The Bruery,American Imperial Stout,17.80%,pacific,33.8711,-117.8628,Placentia,CA
813,Chocolate Rain,"2,800",4.53,The Bruery,American Imperial Stout,19.60%,pacific,33.8711,-117.8628,Placentia,CA
814,Grey Monday,"1,866",4.51,The Bruery,American Imperial Stout,19.90%,pacific,33.8711,-117.8628,Placentia,CA
815,Mocha Wednesday,"1,444",4.5,The Bruery,American Imperial Stout,19.90%,pacific,33.8711,-117.8628,Placentia,CA
816,Black Tuesday - Reserve,261,4.59,The Bruery,American Imperial Stout,20.50%,pacific,33.8711,-117.8628,Placentia,CA
817,Rue D'Floyd,758,4.43,The Bruery,American Imperial Porter,14.40%,pacific,33.8711,-117.8628,Placentia,CA
818,Mélange No. 3,"2,010",4.41,The Bruery,American Strong Ale,16.30%,pacific,33.8711,-117.8628,Placentia,CA
819,Black Tuesday,"4,080",4.54,The Bruery,American Imperial Stout,19.50%,pacific,33.8711,-117.8628,Placentia,CA
820,Apricot Petite Golden Sour,26,4.35,The Collective Brewing Project,American Wild Ale,4.50%,southwest,32.7431476,-97.3289829,Fort Worth,TX
821,Yellow Rose,"1,899",4.41,The Lone Pint Brewery,American IPA,6.80%,southwest,30.208970500000003,-95.7513358,Magnolia,TX
822,Box Set Track #10 - Bat Out Of Hell,"1,120",4.4,The Lost Abbey,American Imperial Stout,13.50%,pacific,33.1434,-117.1661,San Marcos,CA
823,Cable Car,"1,073",4.58,The Lost Abbey,American Wild Ale,7.00%,pacific,33.1434,-117.1661,San Marcos,CA
824,Duck Duck Gooze,"1,891",4.62,The Lost Abbey,Belgian Gueuze,7.00%,pacific,33.1434,-117.1661,San Marcos,CA
825,"Home, Sour Home",439,4.4,The Rare Barrel,American Wild Ale,5.80%,pacific,37.8586341,-122.29180120000001,Berkeley,CA
826,Map Of The Sun,499,4.42,The Rare Barrel,American Wild Ale,6.30%,pacific,37.8586341,-122.29180120000001,Berkeley,CA
827,Soliloquy,198,4.4,The Rare Barrel,American Wild Ale,5.40%,pacific,37.8586341,-122.29180120000001,Berkeley,CA
828,IdonteverEVERwanttoBU,92,4.46,The Veil Brewing Co.,New England IPA,9.30%,south-atlantic,37.568313700000004,-77.4753443,Richmond,VA
829,We Ded Mon,134,4.41,The Veil Brewing Co.,New England IPA,11.00%,south-atlantic,37.568313700000004,-77.4753443,Richmond,VA
830,whiteferrari,181,4.45,The Veil Brewing Co.,New England IPA,8.00%,south-atlantic,37.568313700000004,-77.4753443,Richmond,VA
831,Never Never Again Again,54,4.52,The Veil Brewing Co.,Leipzig Gose,5.10%,south-atlantic,37.568313700000004,-77.4753443,Richmond,VA
832,Never Never Forever Forever,77,4.4,The Veil Brewing Co.,Leipzig Gose,5.10%,south-atlantic,37.568313700000004,-77.4753443,Richmond,VA
833,Never Gonnagetit³,28,4.5,The Veil Brewing Co.,Leipzig Gose,5.30%,south-atlantic,37.568313700000004,-77.4753443,Richmond,VA
834,Crucial Taunt,328,4.37,The Veil Brewing Co.,New England IPA,8.00%,south-atlantic,37.568313700000004,-77.4753443,Richmond,VA
835,We We Ded Ded,57,4.43,The Veil Brewing Co.,American Imperial IPA,11.00%,south-atlantic,37.568313700000004,-77.4753443,Richmond,VA
836,Dirt Nap,205,4.36,The Veil Brewing Co.,New England IPA,8.80%,south-atlantic,37.568313700000004,-77.4753443,Richmond,VA
837,ImdonewithU,72,4.43,The Veil Brewing Co.,New England IPA,11.00%,south-atlantic,37.568313700000004,-77.4753443,Richmond,VA
838,Double Tapped,14,4.76,The Virginia Beer Company,New England IPA,8.00%,south-atlantic,37.2721497,-76.6812818,Queenswood,VA
839,Mexican Siberius Maximus,69,4.58,The Wrecking Bar Brewpub,Russian Imperial Stout,11.00%,south-atlantic,33.7621792,-84.34995179999999,Atlanta,GA
840,Wulver,"1,660",4.36,Thirsty Dog Brewing Company,Scotch Ale / Wee Heavy,12.00%,great-lakes,41.0671697,-81.51733979999999,Akron,OH
841,The Chosen One,123,4.49,Tilted Barn Brewery,New England IPA,8.50%,new-england,41.569525899999995,-71.5238619,Exeter,RI
842,The Chosen One (Double Dry-Hopped),21,4.7,Tilted Barn Brewery,New England IPA,8.50%,new-england,41.569525899999995,-71.5238619,Exeter,RI
843,Double Milkshake IPA - EXTRA Vanilla,93,4.45,Tired Hands Brewing Company,New England IPA,9.20%,mid-atlantic,40.0086321,-75.29376979999998,Lower Merion Township,PA
844,Extra Extra Knuckle,132,4.41,Tired Hands Brewing Company,New England IPA,8.60%,mid-atlantic,40.0086321,-75.29376979999998,Lower Merion Township,PA
845,Eviscerated Pathway Of Beauty,117,4.4,Tired Hands Brewing Company,New England IPA,8.60%,mid-atlantic,40.0086321,-75.29376979999998,Lower Merion Township,PA
846,The Light That Spills Out Of The Hole In Your Head,272,4.36,Tired Hands Brewing Company,American Pale Ale (APA),6.00%,mid-atlantic,40.0086321,-75.29376979999998,Lower Merion Township,PA
847,St.Oner,117,4.38,Tired Hands Brewing Company,New England IPA,6.50%,mid-atlantic,40.0086321,-75.29376979999998,Lower Merion Township,PA
848,Only Void - Single-Origin Ethiopian Coffee,131,4.43,Tired Hands Brewing Company,American Imperial Stout,10.00%,mid-atlantic,40.0086321,-75.29376979999998,Lower Merion Township,PA
849,Tombstone Brewing IPA,28,4.4,Tombstone Brewing Company,New England IPA,7.10%,southwest,31.71275769999999,-110.0703739,Tombstone,AZ
850,ZeeLander,"1,022",4.31,Toppling Goliath Brewing Company,American IPA,5.50%,midwest,43.2739945,-91.7263179,Decorah,IA
851,Pompeii,"1,309",4.31,Toppling Goliath Brewing Company,American IPA,6.20%,midwest,43.2739945,-91.7263179,Decorah,IA
852,Coconut Assassin,16,4.63,Toppling Goliath Brewing Company,American Imperial Stout,Stout,midwest,43.2739945,-91.7263179,Decorah,IA
853,Dragon Fandango,73,4.4,Toppling Goliath Brewing Company,American Wild Ale,5.00%,midwest,43.2739945,-91.7263179,Decorah,IA
854,Scorpius Morchella,255,4.39,Toppling Goliath Brewing Company,New England IPA,7.80%,midwest,43.2739945,-91.7263179,Decorah,IA
855,"Fire, Skulls & Money",505,4.36,Toppling Goliath Brewing Company,New England IPA,7.20%,midwest,43.2739945,-91.7263179,Decorah,IA
856,Kentucky Brunch Brand Stout,762,4.84,Toppling Goliath Brewing Company,American Imperial Stout,12.00%,midwest,43.2739945,-91.7263179,Decorah,IA
857,Mornin' Delight,"1,517",4.7,Toppling Goliath Brewing Company,American Imperial Stout,12.00%,midwest,43.2739945,-91.7263179,Decorah,IA
858,SR-71,509,4.71,Toppling Goliath Brewing Company,American Imperial Stout,14.00%,midwest,43.2739945,-91.7263179,Decorah,IA
859,Assassin,"1,353",4.65,Toppling Goliath Brewing Company,American Imperial Stout,12.00%,midwest,43.2739945,-91.7263179,Decorah,IA
860,King Sue,"2,566",4.6,Toppling Goliath Brewing Company,New England IPA,7.80%,midwest,43.2739945,-91.7263179,Decorah,IA
861,Pseudo Sue - Galaxy Dry-Hopped,376,4.36,Toppling Goliath Brewing Company,American Pale Ale (APA),6.20%,midwest,43.2739945,-91.7263179,Decorah,IA
862,Pseudo Sue,"5,172",4.51,Toppling Goliath Brewing Company,American Pale Ale (APA),6.20%,midwest,43.2739945,-91.7263179,Decorah,IA
863,Supa' Sumo,324,4.44,Toppling Goliath Brewing Company,American Imperial IPA,7.80%,midwest,43.2739945,-91.7263179,Decorah,IA
864,Pseudo Sue - Double Dry-Hopped,"1,036",4.56,Toppling Goliath Brewing Company,American Pale Ale (APA),5.80%,midwest,43.2739945,-91.7263179,Decorah,IA
865,Sosus,"1,835",4.49,Toppling Goliath Brewing Company,New England IPA,8.00%,midwest,43.2739945,-91.7263179,Decorah,IA
866,Pseudo Sue - Mosaic Dry-Hopped,332,4.43,Toppling Goliath Brewing Company,American Pale Ale (APA),6.20%,midwest,43.2739945,-91.7263179,Decorah,IA
867,Term Oil,48,4.53,Toppling Goliath Brewing Company,American Imperial Stout,12.00%,midwest,43.2739945,-91.7263179,Decorah,IA
868,Coffee Assassin,22,4.6,Toppling Goliath Brewing Company,American Imperial Stout,Stout,midwest,43.2739945,-91.7263179,Decorah,IA
869,HOPSMACK!,714,4.37,Toppling Goliath Brewing Company,American Imperial IPA,7.70%,midwest,43.2739945,-91.7263179,Decorah,IA
870,Term Oil 18-A,22,4.63,Toppling Goliath Brewing Company,American Imperial Stout,Stout,midwest,43.2739945,-91.7263179,Decorah,IA
871,XHops - Gold,579,4.4,Toppling Goliath Brewing Company,American Pale Ale (APA),5.30%,midwest,43.2739945,-91.7263179,Decorah,IA
872,Canuckley,72,4.59,Transient Artisan Ales,American Imperial Stout,14.50%,great-lakes,41.943286,-86.5557,Bridgman,MI
873,Kentuckley,149,4.49,Transient Artisan Ales,American Imperial Stout,14.00%,great-lakes,41.943286,-86.5557,Bridgman,MI
874,Bring the Ruckley,33,4.59,Transient Artisan Ales,American Imperial Stout,14.50%,great-lakes,41.943286,-86.5557,Bridgman,MI
875,All That Is And All That Ever Will Be,329,4.51,Tree House Brewing Company,English Sweet / Milk Stout,6.50%,new-england,42.13659120000001,-72.0123365,Charlton,MA
876,Triple Shot,461,4.6,Tree House Brewing Company,American Imperial Stout,9.00%,new-england,42.13659120000001,-72.0123365,Charlton,MA
877,In Perpetuity,"1,000",4.53,Tree House Brewing Company,New England IPA,6.70%,new-england,42.13659120000001,-72.0123365,Charlton,MA
878,Doppelganger,"1,880",4.58,Tree House Brewing Company,New England IPA,8.20%,new-england,42.13659120000001,-72.0123365,Charlton,MA
879,Impermanence,332,4.52,Tree House Brewing Company,English Sweet / Milk Stout,9.00%,new-england,42.13659120000001,-72.0123365,Charlton,MA
880,Gggreennn!,177,4.61,Tree House Brewing Company,New England IPA,7.50%,new-england,42.13659120000001,-72.0123365,Charlton,MA
881,Hold On To Sunshine,426,4.55,Tree House Brewing Company,English Sweet / Milk Stout,7.60%,new-england,42.13659120000001,-72.0123365,Charlton,MA
882,Miles To Go Before I Sleep,108,4.56,Tree House Brewing Company,English Sweet / Milk Stout,9.10%,new-england,42.13659120000001,-72.0123365,Charlton,MA
883,Haze,"2,859",4.57,Tree House Brewing Company,New England IPA,8.20%,new-england,42.13659120000001,-72.0123365,Charlton,MA
884,"Somewhere, Something Incredible Is Waiting To Be Known",328,4.53,Tree House Brewing Company,English Sweet / Milk Stout,7.90%,new-england,42.13659120000001,-72.0123365,Charlton,MA
885,I Will Not Be Afraid,103,4.58,Tree House Brewing Company,English Sweet / Milk Stout,9.30%,new-england,42.13659120000001,-72.0123365,Charlton,MA
886,Double Shot,"1,060",4.54,Tree House Brewing Company,American Stout,7.60%,new-england,42.13659120000001,-72.0123365,Charlton,MA
887,Green,"3,122",4.58,Tree House Brewing Company,New England IPA,7.60%,new-england,42.13659120000001,-72.0123365,Charlton,MA
888,Double Shot - Marshmallow,20,4.68,Tree House Brewing Company,American Imperial Stout,9.60%,new-england,42.13659120000001,-72.0123365,Charlton,MA
889,Human Condition,199,4.46,Tree House Brewing Company,English Sweet / Milk Stout,7.90%,new-england,42.13659120000001,-72.0123365,Charlton,MA
890,Alter Ego,"2,449",4.55,Tree House Brewing Company,New England IPA,6.80%,new-england,42.13659120000001,-72.0123365,Charlton,MA
891,King Julius,998,4.73,Tree House Brewing Company,New England IPA,8.30%,new-england,42.13659120000001,-72.0123365,Charlton,MA
892,King JJJuliusss,409,4.73,Tree House Brewing Company,New England IPA,8.40%,new-england,42.13659120000001,-72.0123365,Charlton,MA
893,Curiosity Fifty Nine,57,4.52,Tree House Brewing Company,American Imperial IPA,8.20%,new-england,42.13659120000001,-72.0123365,Charlton,MA
894,Double Shot - Guatemala El Socorro Maracaturra,57,4.52,Tree House Brewing Company,American Imperial Stout,9.60%,new-england,42.13659120000001,-72.0123365,Charlton,MA
895,Single Shot - Vanilla Bean,274,4.45,Tree House Brewing Company,English Sweet / Milk Stout,6.40%,new-england,42.13659120000001,-72.0123365,Charlton,MA
896,Very Hazy,833,4.72,Tree House Brewing Company,New England IPA,8.60%,new-england,42.13659120000001,-72.0123365,Charlton,MA
897,AAAlterrr Ego,294,4.45,Tree House Brewing Company,New England IPA,6.80%,new-england,42.13659120000001,-72.0123365,Charlton,MA
898,Very Green,"1,215",4.68,Tree House Brewing Company,New England IPA,8.60%,new-england,42.13659120000001,-72.0123365,Charlton,MA
899,Moment Of Clarity,357,4.57,Tree House Brewing Company,English Sweet / Milk Stout,7.70%,new-england,42.13659120000001,-72.0123365,Charlton,MA
900,Double Shot - Vanilla Bean,114,4.49,Tree House Brewing Company,American Imperial Stout,9.20%,new-england,42.13659120000001,-72.0123365,Charlton,MA
901,Juice Machine,862,4.68,Tree House Brewing Company,New England IPA,8.20%,new-england,42.13659120000001,-72.0123365,Charlton,MA
902,Julius,"4,619",4.65,Tree House Brewing Company,New England IPA,6.80%,new-england,42.13659120000001,-72.0123365,Charlton,MA
903,Triple Shot - Batch 1000,42,4.58,Tree House Brewing Company,American Imperial Stout,10.10%,new-england,42.13659120000001,-72.0123365,Charlton,MA
904,JJJuliusss,544,4.65,Tree House Brewing Company,New England IPA,6.80%,new-england,42.13659120000001,-72.0123365,Charlton,MA
905,Doubleganger,921,4.64,Tree House Brewing Company,New England IPA,8.20%,new-england,42.13659120000001,-72.0123365,Charlton,MA
906,Double Shot - 6th Anniversary Blend,53,4.56,Tree House Brewing Company,American Imperial Stout,9.20%,new-england,42.13659120000001,-72.0123365,Charlton,MA
907,Double Shot - Oreo,29,4.65,Tree House Brewing Company,American Imperial Stout,9.20%,new-england,42.13659120000001,-72.0123365,Charlton,MA
908,Double Dry Hopped Congress Street,"1,522",4.59,Trillium Brewing Company,New England IPA,7.20%,new-england,42.35217220000001,-71.04736729999998,Boston,MA
909,Permutation #109: Perm 52 + Perm 57,39,4.72,Trillium Brewing Company,American Imperial Stout,12.40%,new-england,42.35217220000001,-71.04736729999998,Boston,MA
910,Galaxy Dry Hopped Fort Point Pale Ale,"1,714",4.56,Trillium Brewing Company,American Pale Ale (APA),6.60%,new-england,42.35217220000001,-71.04736729999998,Boston,MA
911,Double Dry Hopped Fort Point Pale Ale,"1,664",4.58,Trillium Brewing Company,American Pale Ale (APA),6.60%,new-england,42.35217220000001,-71.04736729999998,Boston,MA
912,Headroom,685,4.61,Trillium Brewing Company,New England IPA,8.00%,new-england,42.35217220000001,-71.04736729999998,Boston,MA
913,Heavy Mettle,"1,171",4.5,Trillium Brewing Company,New England IPA,9.30%,new-england,42.35217220000001,-71.04736729999998,Boston,MA
914,Cutting Tiles (Mosaic),"1,327",4.53,Trillium Brewing Company,New England IPA,8.50%,new-england,42.35217220000001,-71.04736729999998,Boston,MA
915,Scaled Way Up,503,4.55,Trillium Brewing Company,New England IPA,8.00%,new-england,42.35217220000001,-71.04736729999998,Boston,MA
916,Peanut Butter PM Dawn,167,4.46,Trillium Brewing Company,American Imperial Stout,10.10%,new-england,42.35217220000001,-71.04736729999998,Boston,MA
917,Dialed In (w/ Sauvignon Blanc Juice),787,4.44,Trillium Brewing Company,American Imperial IPA,8.50%,new-england,42.35217220000001,-71.04736729999998,Boston,MA
918,Scaled Up,922,4.45,Trillium Brewing Company,New England IPA,8.00%,new-england,42.35217220000001,-71.04736729999998,Boston,MA
919,Vicinity,"1,710",4.45,Trillium Brewing Company,New England IPA,8.00%,new-england,42.35217220000001,-71.04736729999998,Boston,MA
920,Double Dry Hopped Sleeper Street,"1,065",4.46,Trillium Brewing Company,New England IPA,7.20%,new-england,42.35217220000001,-71.04736729999998,Boston,MA
921,Fort Point Pale Ale,"2,187",4.46,Trillium Brewing Company,American Pale Ale (APA),6.60%,new-england,42.35217220000001,-71.04736729999998,Boston,MA
922,Coconut PM Dawn,93,4.54,Trillium Brewing Company,American Imperial Stout,9.00%,new-england,42.35217220000001,-71.04736729999998,Boston,MA
923,Pow Pow,240,4.46,Trillium Brewing Company,New England IPA,8.50%,new-england,42.35217220000001,-71.04736729999998,Boston,MA
924,Congress Street IPA,"2,334",4.5,Trillium Brewing Company,New England IPA,7.20%,new-england,42.35217220000001,-71.04736729999998,Boston,MA
925,Cutting Tiles (Galaxy),560,4.51,Trillium Brewing Company,New England IPA,8.50%,new-england,42.35217220000001,-71.04736729999998,Boston,MA
926,Upper Case,971,4.51,Trillium Brewing Company,New England IPA,9.00%,new-england,42.35217220000001,-71.04736729999998,Boston,MA
927,Mosaic Dry Hopped Fort Point,"1,237",4.51,Trillium Brewing Company,American Pale Ale (APA),6.60%,new-england,42.35217220000001,-71.04736729999998,Boston,MA
928,Melcher Street (Double Dry-Hopped),"1,291",4.51,Trillium Brewing Company,New England IPA,7.20%,new-england,42.35217220000001,-71.04736729999998,Boston,MA
929,Trillium / Monkish - Insert Hip Hop Reference There,87,4.58,Trillium Brewing Company,New England IPA,10.00%,new-england,42.35217220000001,-71.04736729999998,Boston,MA
930,Permutation Series #57: Imperial Stout w/ Coconut & Vanilla,109,4.58,Trillium Brewing Company,American Imperial Stout,13.20%,new-england,42.35217220000001,-71.04736729999998,Boston,MA
931,Mosaic Singularity,16,4.27,Trimtab Brewing Company,New England IPA,6.20%,south,33.512848999999996,-86.79088399999998,Birmingham,AL
932,Breakfast Hero,31,4.18,Trimtab Brewing Company,English Sweet / Milk Stout,8.50%,south,33.512848999999996,-86.79088399999998,Birmingham,AL
933,A Nu Start DDH Triple IPA,19,4.39,Turning Point Beer,American Imperial IPA,10.00%,southwest,32.834949800000004,-97.1624304,Bedford,TX
934,DDH Dinglebop,15,4.43,Turning Point Beer,New England IPA,8.20%,southwest,32.834949800000004,-97.1624304,Bedford,TX
935,Crooked Line: Labyrinth Black Ale,"1,144",4.23,Uinta Brewing Company,American Imperial Stout,13.20%,mountain,40.732611999999996,-111.95416599999999,Salt Lake City,UT
936,Untitled Art / Mikerphone - BA Hazelnut Imperial Stout,35,4.49,Untitled Art,American Imperial Stout,12.20%,great-lakes,43.185099900000004,-89.4250957,Waunakee,WI
937,Paw Paw,122,4.48,Upland Brewing Company,American Wild Ale,6.00%,great-lakes,39.1653,-86.5264,Bloomington,IN
938,Sour Reserve,394,4.37,Upland Brewing Company,Belgian Gueuze,6.00%,great-lakes,39.1653,-86.5264,Bloomington,IN
939,Fantasia,513,4.38,Upright Brewing Company,American Wild Ale,5.75%,northwest,45.534746000000005,-122.6684662,Portland,OR
940,Four Play,194,4.29,Upright Brewing Company,Belgian Saison,5.00%,northwest,45.534746000000005,-122.6684662,Portland,OR
941,Special Herbs (Seasonal),198,4.39,Upright Brewing Company,Scottish Gruit / Ancient Herbed Ale,5.70%,northwest,45.534746000000005,-122.6684662,Portland,OR
942,Cowbell Imperial Oatmeal Milk Stout,345,4.37,Voodoo Brewery,English Sweet / Milk Stout,8.50%,mid-atlantic,41.6414,-80.1514,Meadville,PA
943,Black Magick - Willet Bourbon Barrel-Aged,27,4.69,Voodoo Brewery,Russian Imperial Stout,13.50%,mid-atlantic,41.6414,-80.1514,Meadville,PA
944,Grande Negro Voodoo Papi - Bourbon Barrel-Aged,376,4.62,Voodoo Brewery,American Imperial Stout,12.50%,mid-atlantic,41.6414,-80.1514,Meadville,PA
945,Medianoche - Coconut,110,4.59,WeldWerks Brewing Co.,American Imperial Stout,14.10%,mountain,40.428113,-104.69051340000001,Greeley,CO
946,Achromatic - Coffee Maple,113,4.45,WeldWerks Brewing Co.,American Imperial Stout,10.20%,mountain,40.428113,-104.69051340000001,Greeley,CO
947,Medianoche,55,4.45,WeldWerks Brewing Co.,American Imperial Stout,14.10%,mountain,40.428113,-104.69051340000001,Greeley,CO
948,Medianoche - Peanut Butter Cup,34,4.6,WeldWerks Brewing Co.,American Imperial Stout,13.10%,mountain,40.428113,-104.69051340000001,Greeley,CO
949,Medianoche - Rye Barrel-Aged - Vanilla,13,4.53,WeldWerks Brewing Co.,American Imperial Stout,13.90%,mountain,40.428113,-104.69051340000001,Greeley,CO
